Entrez_ID,Gene,mouse_scBAT_count,mouse_iBAT_counts,mouse_WAT_count,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu,Human_Genbank_Accession,Human_Gene,Human_scBAT_FPKM,Human_WAT_FPKM,MouseSCBATvsWAT_LR,MouseSCBATvsWAT_PV
109294,Prex2,4736,4785,2488.6667,43.94,32.21,12.3,51.885,27.455,76.205,NM_024870,PREX2,1.86,0.51,1,0.00012962
18139,Zfml,1206.3333,1073.6667,3664.6667,214.17,182.43,165.3675,224.565,97.4925,229.325,NM_001014972,ZNF638,20,6.53,0,0.0039639
13800,Enah,305.3333,303,223.6667,928.9333,1039.9967,1197.3433,1443.83,767.4333,1678.2083,NM_001008493,ENAH,2.16,0.61,1,0.00473
11593,Aga,715.6667,748.6667,839.6667,1814.16,1643.61,1362.09,2579.64,1716,2535.32,NM_001171988,AGA,0.74,0,1,0.18862
56295,Higd1a,2035,2040,1018,4624.1433,3037.7033,3027.9333,3945.5467,3429.04,4584.69,NM_001099669,HIGD1A,1.26,0,1,1.47e-07
218977,Dlgap5,5,6.3333,161,10.36,8.43,8.29,13.755,6.05,1.65,NM_014750,DLGAP5,6.29,1.89,0,1.35e-08
102103,Mtus1,4607.6667,4493.6667,3641.3333,270.8533,423.8333,264.7667,245.5833,272.6167,466.49,NM_001001925,MTUS1,1.13,0.36,1,0.0074637
74143,Opa1,7254.6667,7229,3324.6667,533.99,406.48,440.8533,329.0233,292.08,467.5467,NM_130836,OPA1,8.04,4.01,1,4.31e-09
72147,Zbtb46,348,386.6667,480.6667,33.09,38.8275,59.9175,110.805,46.8625,48.47,NM_025224,ZBTB46,1.34,0.63,1,0.45227
67724,Pop1,70.3333,77.3333,227,35.41,29.125,23.95,40.47,26.915,32.375,NM_001145860,POP1,3.5,1.13,0,0.030666
57782,Rbak,185.3333,172.6667,425.6667,183.35,223.35,226.72,357.91,207.46,269.25,NM_021163,RBAK,1.38,0.31,0,0.21235
17681,Msc,25.3333,13.6667,187,18.17,2.31,15.73,7.9,14.69,5.41,NM_005098,MSC,12.86,6.11,0,0.00024153
14282,Fosb,10.6667,15,39.3333,153.6,117.13,274.57,358.72,98.46,63.36,NM_006732,FOSB,1.14,0,0,0.060062
50868,Keap1,1736.6667,1556,2167,196.805,207.555,204.685,268.265,198.725,285.465,NM_203500,KEAP1,1.31,0,1,0.14158
57875,Angptl4,5506.3333,5799.3333,7121.6667,2756.645,2595.735,2807.545,2215.895,3039.135,3058.58,NM_139314,ANGPTL4,65.57,19.68,1,0.49331
94093,Trim33,826,789.3333,2208,176.9467,214.9667,209.8633,252.4933,153.5333,203.86,NM_033020,TRIM33,3.37,1.58,0,0.039542
216877,Dhx33,1046.6667,848.6667,1413.6667,314.93,208.3,273.1,292.76,202.455,202.73,NM_001199699,DHX33,1.14,0.01,1,0.32066
16880,Lifr,1722,1810.3333,3358,350.13,1027.1,400.3167,153.0367,192.7867,431.32,NM_001127671,LIFR,5.06,1.6,0,0.3626
27059,Sh3d19,456.3333,355.3333,1203.3333,181.4775,179.3375,196.705,217.12,303.515,284.085,NM_001009555,SH3D19,5.72,2.15,0,0.045744
242960,Fbxl5,1191.3333,1061.3333,2682,1618.57,3115.75,2430.18,2039.63,2085.81,2172.85,NM_001193534,FBXL5,3.2,0.01,0,0.1039
11567,Avil,17.3333,22,14.6667,28.94,59.24,35.15,32.72,41.74,31.52,NM_006576,AVIL,3.27,1.04,1,0.10695
81910,Rrbp1,4196,3080.3333,7007.3333,1494.4325,1655.2725,2115.915,2382.6225,1803.67,2180.81,NM_001042576,RRBP1,8.74,4,0,0.83305
18080,Nin,379,360.6667,2586.3333,86.0033,181.4033,282.5933,122.4133,70.05,117.37,NM_182946,NIN,5.74,2.54,0,2.67e-09
64934,Pes1,1408,1266.3333,2135,655.43,532.155,558.215,633.405,573.915,522.995,NM_001243225,PES1,4.6,0,1,0.61764
382793,Mtx3,1196.6667,1333.6667,1064.6667,154.4033,105.2533,69,87.4,65.2633,129.4067,NM_001167741,MTX3,3.79,1.68,1,0.0019655
