Entrez_ID,Gene,scBAT_counts,iBAT_counts,WAT_counts,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu
213582,Map9,84,91.3333,304.6667,61.0933,54.73,54.2767,77.5167,45.31,66.68
213603,Slc44a3,967.3333,952.3333,711.6667,144.53,282.41,225.94,54.23,43.83,23.13
213649,Arhgef19,75,84.3333,12.6667,9.39,35.84,20.36,29.58,21.95,21.83
213673,9530068E07Rik,2568.6667,2495.6667,3948.6667,1038.125,935.87,1296.7,1335.34,1272.555,1256.205
213696,Duoxa1,11.3333,2,29.6667,75.46,23.02,50.49,15.97,55.24,14.83
213742,Xist,4.3333,2.3333,4.6667,13.94,22.7567,17.0233,23.4433,23.6333,9.7067
213753,Zfp598,1345.6667,1072.3333,2382.3333,926.48,839.41,1079.28,980.12,1021.94,679.86
213760,Prepl,877.6667,797.6667,839.3333,175.7625,141.14,128.7425,209.4125,231.5175,201.8025
213773,Tbl3,723.6667,598,976.3333,65.9333,89.82,71.86,95.41,124.33,112.3933
213783,Plekhg1,302.3333,359,571.3333,15.515,10.98,6.1,9.275,8.695,5.47
213819,Casd1,523.3333,506.3333,1335,378.96,226.28,248.365,303.34,243.17,428.945
213827,Arcn1,4016.6667,3784.3333,5720.6667,719.7733,1120.4633,1023.27,757.92,907.4833,1167.89
213895,Bms1,858,797.6667,2094.6667,973.69,683.655,796.535,1083.865,521.295,846.26
213948,Atg9b,145.3333,132.6667,66,18.725,13.21,25.845,16.07,9.625,15.405
213956,Fam83f,5.3333,2.3333,96.6667,27.82,17.79,32.57,50.55,31.44,19.95
213980,Fbxw10,11,9.3333,43.6667,33.93,15.93,27.1,24.19,36.56,29.08
213988,Tnrc6b,1969.3333,2167.3333,4347,273.6233,237.5167,302.6233,198.6,136.4567,242.5867
213989,Tmem82,2,2,4,4.84,23.41,16.63,17.58,5.16,11.73
213990,Agap3,1178,1117.3333,1567.3333,39.48,48.765,48.705,107.36,75.7,47.65
214048,Larp1b,1162.6667,1131.3333,797,271.555,236.72,184.15,187.72,132.185,245.63
214058,Megf11,14,11,22,44.47,10.95,36.18,37.99,42.57,24.77
214063,Dnajc16,609.6667,538.3333,697,47.745,57.68,50.985,38.62,40.82,58.97
214084,Slc18a2,44,42,82,26.79,5.7,41.6,5.84,8.95,7.67
214105,Sox30,12.3333,12.3333,8.6667,16.85,21.63,20.42,7.17,8.57,14.97
214106,4933430I17Rik,4.3333,4.6667,13,5.76,5.27,5.52,3.21,3.17,2.29
214111,Slc24a1,9,5,14,14.69,15.48,6.15,5.33,1.8,10.33
214112,Nipal4,1,1.6667,5.3333,11.89,20.03,21.08,21.915,22.54,29.375
214133,Tet2,497.3333,543,1325.3333,324.78,286.515,466.715,306.905,217.485,584.815
214137,Arhgap29,3638.3333,3853,5548,1222.5733,925.23,1099.41,882.86,680.5967,1339.6
214189,Scgn,0,0,0.66667,83.57,71.37,92.19,65.83,63.61,61.64
214230,Pak6,4.6667,1,11.6667,7.22,17.75,19.03,12.89,10.92,5.83
214240,Disp2,3,5.6667,31.3333,17.02,16.95,11.9267,13.12,12.7733,13.4367
214253,Etnk2,2,2.6667,3.3333,16.2,32.39,18.71,12.17,25.21,8.07
214254,Nudt15,179,177,107.6667,34.035,28.395,31.59,24.83,36.535,41.975
214290,Zcchc6,1296,1220.3333,3039.3333,764.53,571.79,720.34,690.615,490.28,741.475
214301,Crygn,4.6667,1.6667,17,6.04,15.46,10.95,11.86,9.18,1
214305,Hhipl1,7.6667,3.3333,24.6667,264.97,312.95,469.28,592.87,436.44,399.05
214321,Gm4787,12,8.6667,20.6667,3.46,2.94,4.72,4.04,2.54,6.54
214345,Lrrc1,67.6667,71.6667,314,10.83,25.57,22.08,29.46,23.94,18.81
214359,Tmem51,36.6667,35.3333,302,42.61,23.94,41.99,30.44,53.8,22.99
214384,Myocd,14.3333,13.6667,13.6667,12.675,14.56,7.895,14.305,14.3,15.405
214403,Gm4788,0.33333,0,0.33333,4.08,9.78,2.38,4.68,13.43,1.46
214424,Parp16,587,669.3333,488,162.96,204.96,148.78,93.66,108.38,88.28
214425,Cilp,19.3333,35.3333,224.3333,36,34.15,23.74,36.41,33.5,15.61
214444,Cdk5rap2,156,143.6667,734,36.4267,37.4833,47.5367,29.4667,33.9033,31.2167
214459,Fnbp1l,812.6667,788.3333,1344,216.48,297.38,305,515.59,312.5,303.76
214469,Fam168b,3608,3539.6667,7342.3333,899.6,1098.5,1046.3,1316.15,1079.58,1315.14
214489,BC003965,1344.6667,1388,941.3333,391.32,405.1133,259.9833,371.6567,435.76,476.1367
214498,Cdc73,774,680,1148,244.1786,258.1829,180.8229,238.5386,126.7986,256.3143
214505,Gnptg,401.6667,378,800.3333,214.58,237.2,170.9,169.26,201.51,254.23
214523,Tmprss4,2.6667,1,11.3333,8.93,10.76,14.41,5.28,23.63,18.37
214531,Tmprss13,20.3333,1,15.6667,5.17,17.91,8.6,4.35,11.86,3.04
214547,She,473,552.6667,621.6667,8.035,8.115,10.425,11.61,12.175,6.42
214552,Cep164,191,201,832,75.83,62.49,98.5033,103.94,59.9067,91.4867
214572,Prmt7,515.6667,490.6667,674.6667,99.56,88.8833,80.3667,87.98,71.4333,70.2433
214575,Tdrd5,1,0,3,29.87,30.14,15.22,16.43,22.72,27.4
214579,Aldh5a1,1125,997,755.3333,311.47,201.98,184.5,129.38,101.63,251.36
214580,Pstk,605,669.6667,336.3333,167.32,181.925,159.22,153.07,192.095,165.095
214585,Spg11,1038.3333,923.6667,1795.3333,72.425,83.05,114.86,105.81,70.485,96.03
214597,Sidt2,4226.6667,3796,5765,955.7,851.44,1106.2,740.8,1128.01,1259.83
214601,Slc10a3,297,252,559.6667,252.38,249.71,234.46,204.81,227.87,248.1
214616,Spata5l1,137.6667,147.6667,190,10.05,15.8,21.06,13.98,15.46,10.58
214627,Papd5,956,961.6667,1340.3333,919.7,862.47,991.91,828.36,622.17,580.97
214639,4930486L24Rik,37.6667,35.3333,90.6667,117.51,739.33,1255.96,237.2,257.03,145.01
214642,Cped1,2169,2158.3333,2822,65.02,80.625,136.18,85.895,49.205,99.495
214663,Slc25a29,136,131,230.6667,78.428,83.43,89.858,65.34,78.164,57.444
214669,L3mbtl2,568.6667,531.6667,855.6667,259.21,187.11,224.33,186.71,325.12,234.1
214685,Chadl,105,113.6667,63.3333,40.36,51.23,46.67,88.39,33.23,71.89
214704,Iqub,1.6667,4.6667,2,7.61,9.61,10.33,16.77,8.86,11.5
214742,Rcor3,383,400.6667,440,128.565,155.6033,205.58,105.78,96.7717,117.0633
214763,Mb21d1,32.3333,33.3333,186.3333,118.665,111.92,164.76,141.735,166.66,170.77
214779,Zfp879,37,38,36.3333,8.36,7.4,4.66,6.09,16.26,8.45
214791,Sertad4,42.6667,23.6667,106.3333,117.1,165.63,137.75,198.29,206.64,152.93
214804,Syde2,380,353,490,209.8,276.04,82.39,72.16,44.06,169.26
214854,Neurl3,94,118,2069.3333,10.21,20.07,20.27,10.63,17.07,12.93
214855,Arid5a,128.6667,99.6667,1335.3333,132.98,142.2,160.57,98.39,148.62,129.97
214895,Lman2l,1179.6667,1055.6667,1292.3333,148.575,200.56,191.58,138.155,154.04,230.335
214897,Csnk1g1,329,338,1200.3333,216.8733,127.5633,201.0467,168.5,84.69,193.64
214899,Kdm5a,1633.3333,1649,3774.3333,172.4367,151.6117,236.4817,182.28,41.825,155.355
214901,Chtf18,14.6667,21,105.6667,18.17,3.95,5.68,10.16,15.18,11.3
214917,Fam173a,569.6667,506.3333,1089.3333,742.01,471.12,515.13,447.69,869.72,814.82
214922,Slc39a2,13,13,21.6667,20.85,22.15,22.8,32.72,10.83,17.3
214931,Fbxl16,21.6667,14.6667,29.6667,183.9,214.03,236.13,190.93,152.23,206.23
214932,Cecr5,699.6667,735.6667,1008,54.34,54.395,66.26,47.7,50.295,42.125
214944,Mob3b,187.6667,171.6667,438.6667,80.115,86.765,78.03,40.68,86,74.235
214951,Rhbdl1,187.3333,197.6667,899.3333,112.05,14.96,39.46,25.37,38.32,41.31
214952,Rhot2,2382.3333,2688.3333,1637,155.68,147.04,174.1,177.25,125.69,120.14
214968,Sema6d,340,332.6667,1152.3333,278.62,326.935,255.735,176.435,129.8475,250.0675
214987,Chtf8,1582,1424.6667,3399,589.18,469.3,424.35,569.17,508.48,517.29
215001,Wfikkn1,4.3333,3.6667,8.6667,22.47,25.27,24.26,29.31,17.46,17.11
215008,Vezt,420.3333,370.3333,617,33.9767,31.6067,40.4267,28.4233,26.6133,30.6833
215015,Fam20b,2088.3333,2035,2936.3333,160.1867,176.68,183.87,170.9467,134.7033,162.0733
215031,Vgll2,11,5.6667,0,12.78,6.46,8.01,9.99,3.92,14.23
215051,Bud13,155.6667,145.6667,441.6667,124.93,348.01,161.82,173.22,188.86,133.55
215085,Slc35f1,30.6667,24.3333,34.6667,6.715,11.4,12.79,12.23,16.245,17.45
215090,Maneal,7,8,18,3.935,16.125,8.15,6.97,10.15,58.935
215095,Astl,0.66667,0.33333,3,7.65,17,16,8.3,11.59,8.04
215113,Slc43a2,587.6667,604,1987,154.9267,178.1933,181.03,102.41,129.57,91.73
215114,Hip1,891.6667,907.3333,3518.3333,63.434,70.684,65.196,54.206,64.026,47.97
215160,Rhbdd2,1006,894,981.6667,130.4333,110.9633,110.6433,128.7567,130.46,164.44
215193,Diexf,302,257.6667,657,169.1467,177.3033,215.8533,187.64,130.31,160.63
215194,Kri1,344.6667,312,996.6667,68.41,144.95,69.255,126.49,138.735,121.735
215201,Trmt2b,2098,2242,1093,138.17,129.17,121.94,86.09,106.35,123.205
215210,Tmem120a,2814,2409,5401.3333,903.27,619.86,730.49,2352.03,1836.76,1584.06
215243,Traf3ip3,16.3333,21.6667,2580.6667,19.76,28.99,22.29,6.65,10.78,11.6
215257,Il1f9,0.33333,3.3333,3.6667,70.84,57.52,41.41,42.71,68.68,58.67
215274,Il1f10,0,0,0,49.36,35.4,47.94,38.24,51.08,62.7
215280,Wipf1,439.3333,372.3333,4034,346.19,452.96,647.69,478.825,261.895,475.875
215303,Camk1g,4.6667,1.3333,5.3333,11.7,4.18,9.55,5.48,3.11,18.26
215332,Slc36a3,2,3,11.6667,23.38,17.42,18.02,35.01,35.86,13.7
215335,Slc36a1,532.3333,490.6667,975.3333,104.35,85.76,97.97,66.87,112.97,94.28
215351,Senp6,1259.3333,1217.6667,2838,256.56,205.4967,232.9667,256.69,87.67,210.8733
215384,Fcgbp,3.3333,0,21,40.87,13.26,40.66,25.72,20.74,36.94
215387,Ncaph,45.6667,45,261.3333,71.78,91.815,101.055,124.05,109.38,115.915
215418,Csrnp1,291.6667,322.6667,932.3333,520.695,205.515,488.105,282.185,230.75,205.59
215436,Slc35e3,308.6667,257.6667,456.3333,157.87,138.26,133.3,244.98,147.81,148.79
215445,Rab11fip3,625,645.6667,837.3333,155.295,187.715,229.65,220.1,189.655,186.555
215446,Entpd3,13.3333,1.3333,1.6667,3.33,1.78,2.89,1.83,3.23,4.01
