Var1,Var2
1416748_a_at,99.52
1416749_at,2059.72
1416750_at,872.76
1416751_a_at,156.45
1416752_at,3.59
1416753_at,495.56
1416754_at,23.28
1416755_at,3999.1
1416756_at,4345.95
1416757_at,49.68
1416758_at,8.33
1416759_at,111.3
1416760_at,47.41
1416761_at,25.81
1416762_at,7643.19
1416763_at,549.49
1416764_at,2085.23
1416765_s_at,3267
1416766_at,1775.88
1416767_a_at,6422.77
1416768_at,4649.87
1416769_s_at,650.15
1416770_at,26.23
1416771_at,283.19
1416772_at,1288.03
1416773_at,243.44
1416774_at,153.29
1416775_at,103.04
1416776_at,3.37
1416777_at,24.15
1416778_at,2301.65
1416779_at,217.12
1416780_at,415.57
1416781_at,530.64
1416782_s_at,938.18
1416783_at,14.39
1416784_at,15.13
1416785_at,44.3
1416786_at,30.22
1416787_at,43.85
1416788_a_at,3846.92
1416789_at,3145.28
1416790_a_at,996.2
1416791_a_at,771.62
1416792_at,761.21
1416793_at,894.84
1416794_at,120.16
1416795_at,37.15
1416796_at,348.19
1416797_at,45.6
1416798_a_at,153.87
1416799_at,404.76
1416800_at,71.97
1416801_at,10.56
1416802_a_at,380.04
1416803_at,3113.83
1416804_at,172.42
1416805_at,288.62
1416806_at,121.99
1416807_at,12823.72
1416808_at,14062.5
1416809_at,10.19
1416810_at,964.23
1416811_s_at,5804.63
1416812_at,303.95
1416813_at,198.19
1416814_at,156.6
1416815_s_at,1235.77
1416816_at,1704.97
1416817_at,169.11
1416818_at,210.12
1416819_at,1482.11
1416820_at,32.8
1416821_at,213.05
1416822_at,47.33
1416823_a_at,361.78
1416824_at,691.05
1416825_at,249.66
1416826_a_at,512.51
1416827_at,46.51
1416828_at,15.4
1416829_at,5881.68
1416830_at,1054.9
1416831_at,242.65
1416832_at,216.11
1416833_at,10.92
1416834_x_at,2019.34
1416835_s_at,283.77
1416836_at,1652.63
1416837_at,403.27
1416838_at,732.21
1416839_at,59.13
1416840_at,1093.06
1416841_at,484.48
1416842_at,1621.13
1416843_at,349.9
1416844_at,223.19
1416845_at,272.65
1416846_a_at,2323.63
1416847_s_at,18.98
1416848_at,4259.69
1416849_at,2335.33
1416850_s_at,3778.06
1416851_at,6.85
1416852_a_at,286.08
1416853_at,95.89
1416854_at,71.89
1416855_at,1793.95
1416856_at,1870.04
1416857_at,2713.86
1416858_a_at,2098.84
1416859_at,1106.2
1416860_s_at,750.5
1416861_at,444.9
1416862_at,132.69
1416863_at,207.34
1416864_at,357.14
1416865_at,166.59
1416866_at,544.95
1416867_at,875.03
1416868_at,1146.1
1416869_x_at,74.05
1416870_at,421.18
1416871_at,50.96
1416872_at,170.13
1416873_a_at,236.27
1416874_a_at,404.35
1416875_at,9.47
1416876_at,51.85
1416877_a_at,2466.72
1416878_at,128.54
1416879_at,65.08
1416880_at,1656.54
1416881_at,879.71
1416882_at,814.53
1416883_at,1020.73
1416884_at,3465.94
1416885_at,312.39
1416886_at,21.61
1416887_at,2.3
1416888_at,105.94
1416889_at,15.49
1416890_at,846.2
1416891_at,308.87
1416892_s_at,368.51
1416893_at,259.66
1416894_at,246.81
1416895_at,10.67
1416896_at,39.29
1416897_at,478.59
1416898_a_at,257.23
1416899_at,3.17
1416900_s_at,95.68
1416901_at,9114.89
1416902_a_at,5343.96
1416903_at,1580.42
1416904_at,1486.09
1416905_at,42.57
1416906_at,1222.26
1416907_at,450.64
1416908_s_at,1470.5
1416909_at,405.84
1416910_at,1237.32
1416911_a_at,960.93
1416912_at,1521.37
1416913_at,12.98
1416914_s_at,505.5
1416915_at,212.79
1416916_at,70.26
1416917_at,1098.91
1416918_at,625.93
1416919_a_at,342.5
1416920_at,294.67
1416921_x_at,11786.55
1416922_a_at,2856.39
1416923_a_at,1218.83
1416924_at,5081.17
1416925_at,718.94
1416926_at,1892.82
1416927_at,8.14
1416928_at,463.38
1416929_at,63.42
1416930_at,50.51
1416931_at,428.76
1416932_at,306.41
1416933_at,3148.24
1416934_at,408.39
1416935_at,400.28
1416936_at,22.4
