mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_iBAT_mean_count,mouse_scBATvsWAT_Log_Ratio,mouse_scBATvsWAT_Pvalue,mouse_scBATvsiBAT_Log_Ratio,mouse_scBATvsiBAT_Pvalue,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_Log_Ratio
225467,Pggt1b,362.6667,820,346,-0.44233,0.17249,-0.0014285,0.9986,NM_005023,PGGT1B,9.96,4.59,1.12
13511,Dsg2,63.6667,507.6667,1.6667,-2.1977,0.014793,5.0364,2.19e-08,NM_001943,DSG2,0.64,0.04,4.18
16822,Lcp2,52,2182.6667,38,-4.5605,4.82e-13,0.38254,0.1989,NM_005565,LCP2,0.94,0.1,3.2
78286,Nav2,698,161.3333,548,2.8457,5.72e-12,0.26446,0.32937,NM_001111019,NAV2,11.94,2.87,2.06
64817,Svep1,6313,5497,4339.3333,0.79772,0.089162,0.46862,0.0097679,NM_153366,SVEP1,61.48,24.58,1.32
105171,Arrdc3,1112.6667,1913.3333,916.3333,-0.12395,0.71635,0.19401,0.35067,NM_020801,ARRDC3,21.39,10.29,1.06
241327,Olfml2a,76,100,64.3333,0.33195,0.44352,0.17663,0.48551,NM_182487,OLFML2A,5.55,2.34,1.24
244421,Lonrf1,413.3333,377.3333,376.6667,0.78401,0.05512,0.064103,0.68232,NM_152271,LONRF1,12.76,6.12,1.06
50790,Acsl4,1133.6667,1577.3333,851.3333,0.246,0.4042,0.33271,0.038794,NM_004458,ACSL4,24.95,12.35,1.01
71865,Fbxo30,437.3333,443.6667,453.3333,0.68618,0.045708,-0.11556,0.48134,NM_032145,FBXO30,22.52,9.11,1.31
239318,Plcxd3,0.33333,2.3333,1,-1.8331,0.17177,-1.3475,0.63739,NM_001005473,PLCXD3,1.11,0.31,1.87
