ID,Gene Symbol,ENTREZ_GENE_ID
1416432_at,Pfkfb3,170768
1416433_at,Rpa2,19891
1416434_at,Bcl2l10,12049
1416435_at,Ltbr,17000
1416436_a_at,Uqcc1,56046
1416437_a_at,Mapk8ip3,30957
1416438_at,Puf60,67959
1416439_at,Dctpp1,66422
1416440_at,Cd164,53599
1416441_at,Cpq,54381
1416442_at,Ier2,15936
1416443_a_at,Sae1,56459
1416444_at,Elovl2,54326
1416445_at,Fam98a,72722
1416446_at,Tmem30a,69981
1416447_at,Tmem30a,69981
1416448_at,Itpa,16434
1416449_x_at,Stxbp2,20911
1416450_at,Taf8,63856
1416451_s_at,Taf8,63856
1416452_at,Oat,18242
1416453_x_at,Gm21571 /// Rps12 /// Rps12-ps10 /// Rps12-ps11 /// Rps12-ps12 /// Rps12-ps13 /// Rps12-ps14 /// Rps12-ps15 /// Rps12-ps16 /// Rps12-ps18 /// Rps12l2,20042 /// 434843 /// 626048 /// 665463 /// 665522 /// 665579 /// 665611 /// 670832 /// 671641 /// 100038969 /// 100862223
1416454_s_at,Acta2,11475
1416455_a_at,Cryab,12955
1416456_a_at,Chia1,81600
1416457_at,Ddah2,51793
1416458_at,Arf2,11841
1416459_at,Arf2,11841
1416460_at,Miox,56727
1416461_at,Caprin1,53872
1416462_at,Caprin1,53872
1416463_at,Caprin1,53872
1416464_at,Slc4a1,20533
1416465_a_at,Vapa,30960
1416466_at,Vapa,30960
1416467_at,Ddx3x,13205
1416468_at,Aldh1a1,11668
1416469_at,Luzp1,269593
1416470_a_at,Rpn1,103963
1416471_at,Cept1,99712
1416472_at,Syap1,67043
1416473_a_at,Igdcc4,56741
1416474_at,Igdcc4,56741
1416475_at,Ube2d2a,56550
1416476_a_at,Ube2d2a,56550
1416477_at,Ube2d2a,56550
1416478_a_at,Mdh2,17448
1416479_a_at,Tmem14c,66154
1416480_a_at,Higd1a,56295
1416481_s_at,Higd1a,56295
1416482_at,Ttc3,22129
1416483_at,Ttc3,22129
1416484_at,Ttc3,22129
1416485_at,Timm23,53600
1416486_at,Aimp1,13722
1416487_a_at,Yap1,22601
1416488_at,Ccng2,12452
1416489_at,Pi4k2b,67073
1416490_at,Tmed6,66269
1416491_at,Numbl,18223
1416492_at,Ccne1,12447
1416493_at,Ddost,13200
1416494_at,Ndufs5,595136
1416495_s_at,BC002163 /// Ndufs5,170658 /// 595136
1416496_at,Mrfap1,67568
1416497_at,Pdia4,12304
1416498_at,Ppic,19038
